,Name,name-greek,main-type,sub-type,description,Wiki link,Reference
376,Hermaphroditus,Ἑρμάφρόδιτός,god,other,god of hermaphrodites and effeminate men,Hermaphroditus,Hermaphroditus
377,Eunomia,Ευνομία,god,hours,"spirit of good order, and springtime goddess of green pastures",Eunomia,Eunomia
378,Eirene,Ειρήνη,god,hours,spirit of peace and goddess of the springtime,Eirene_(goddess),Eirene
379,Thallo,Θαλλώ,god,hours,"goddess of spring buds and shoots, identified with eirene",nan,Thallo
380,Auxo,Αυξώ,god,hours,goddess of spring growth,nan,Auxo
381,Karpo,Καρπώ,god,hours,goddess of the fruits of the earth,Karpos,Karpo
382,Pherousa,Φέρουσα,god,hours,goddess of substance and farm estates,Pherusa,Pherousa
383,Euporie,Ευπορίη,god,hours,goddess of abundance,Euporia,Euporie
384,Orthosie,Ορθοσίη,god,hours,goddess of prosperity,Orthosie,Orthosie
385,Auge,Αυγή,god,hours,first light of the morning,Auge,Auge
386,Musica,Μουσική,god,hours, morning hour of music and study,nan,Musica
387,Gymnastica,Γυμνασία,god,hours,morning hour of gymnastics/exercise,nan,Gymnastica
388,Sponde,Σπονδή,god,hours,libations poured after lunch,nan,Sponde
389,Acte,Ακτή,god,hours,second of the afternoon work hours,Actaeus,Acte
390,Hesperis,Έσπερίς,god,hours,evening,Hesperis_(mythology),Hesperis
391,Dysis,Δύσις,god,hours,sunset,nan,Dysis
392,Arktos,Άρκτος,god,hours,"night sky, constellation",Arktos,Arktos
393,Eiar,Είαρ,god,hours,spring,nan,Eiar
394,Theros,Θέρος,god,hours,summer,Thero_(mythology),Theros
395,Pthinoporon,Φθινόπωρον,god,hours,autumn,nan,Pthinoporon
396,Cheimon,Χειμών,god,hours,winter,nan,Cheimon
397,Hymenaios,Ὑμέναιος,god,hours,god of marriage and marriage feasts,Hymen_(god),Hymenaios
398,Ichnaea,Ιχναία,god,other,goddess of tracking,Ichnaea,Ichnaea
399,Iynx,Ιύνξ,god,other,goddess of the love charm,Iynx,Iynx
400,Matton,Μάττων,god,other,"demi-god of the meal, specifically the kneading of dough",Matton_(mythology),Matton
401,Aoide,Ἀοιδή,god,other,muse of song,Aoede_(mythology),Aoide
402,Arche,Αρχή,god,other,muse of origins,Arche_(mythology),Arche
403,Melete,Μελέτη,god,other,muse of meditation and practice,Melete,Melete
404,Mneme,Μνήμη,god,other,muse of memory,Mneme,Mneme
405,Thelxinoe,Θελξινόη,god,other,muse charmer of minds,Thelxino%C3%AB,Thelxinoe
406,Calliope,Καλλιόπη,god,other,muse of epic poetry,Calliope,Calliope
407,Clio,Κλειώ,god,other,muse of history,Clio,Clio
408,Euterpe,Ευτέρπη,god,other,muse of musical poetry,Euterpe,Euterpe
409,Erato,Ερατώ,god,other,muse of lyric poetry,Erato,Erato
410,Melpomene,Μελπομένη,god,other,muse of tragedy,Melpomene,Melpomene
411,Polyhymnia ,Πολυμνία,god,other,muse of sacred poetry,Polyhymnia,Polyhymnia 
412,Terpsichore,Τερψιχόρη,god,other,muse of dance and choral poetry,Terpsichore,Terpsichore
413,Urania,Ουρανία,god,other,muse of astronomy,Urania,Urania
414,Cephisso,Κεφισσώ,god,muse,daughter of Apollo,Cephisso,Cephisso
415,Apollonis,Απολλωνίς,god,muse,daughter of Apollo,Apollonis,Apollonis
416,Borysthenis,Βορυσθενίς,god,muse,daughter of Apollo,Borysthenis,Borysthenis
417,Hypate,Υπάτη,god,muse, upper chord of the lyre,Hypate,Hypate
418,Mese,Μέση,god,muse, middle chord of the lyre,Mese_(mythology),Mese
419,Nete,Νήτη,god,muse, lowest chord of the lyre,Nete_(mythology),Nete
420,Polymatheia,Πολυμάθεια,god,muse,muse of knowledge,Polymatheia,Polymatheia
421,Palaestra,Παλαίστρα,god,other,goddess of wrestling,Palaestra_(mythology),Palaestra
422,Rhapso,Ραψώ,god,nymph,minor goddess or nymph whose name apparently refers to sewing,Rhapso,Rhapso
423,Alexiares,Αλεξιαρης,god,other,son of heracles presiding over the defence of fortified towns and citadels,Alexiares_and_Anicetus,Alexiares
424,Anicetus,Ανικητος,god,other,son of heracles presiding over the defence of fortified towns and citadels,Alexiares_and_Anicetus,Anicetus
425,Auxesia,Αυξησία,god,other,local fertility goddess,nan,Auxesia
426,Damia,Δαμία,god,other,local fertility goddess,nan,Damia
