,Tweets,index
0,"Have a beautiful Day of Aphrodite aka Venus' Day aka Frigg's Day aka Friday 🌹

Venus-#Aphrodite Anadyomene (Rising From the Sea) fresco of the goddess wringing out her hair from the House of the Prince of Naples in #Pompeii

#DayOfAphrodite #FrescoFriday #FannyFriday https://t.co/LKwfJgiYmb",82
0,"#Mani 
PLEASE DON’T BE OFFENDED WITH ANYTHING HADES DOES, IT’S HADES NOT ME :O

I see people unfollow after he is mean 
IT”S NOT ME",105
1,"#mani

Hides self
🥺 so much mean I am being with Hades",105
2,"#mani
🥺 I am hurting people as hades :(",105
0,"Why is Baldr ""killed"" by his blind brother? Blindness is linked to profound insight and the other world, the mistletoe is a parasite that strangles the tree as ivy does, Frazer called it the golden bough that carried the sun's light. Baldr like Dionysus is the dying or sick god.. https://t.co/qPoppnFcpp",121
1,"some mythological jazz, baldr, dionysus, megara and tisiphone https://t.co/ILLMasS7lQ",121
0,"@ Indra, Zeus, Freyr, Dodola, Dudumitsa, Oden, Lumo, Adad, Kuraokami, Bunzi, Sinvula, please keep rain away from the MCG for today 🙏🤲✝️⛪🕌🕍🛐🛐",140
0,"ᅠ 
 ᅠ 
 ᅠ

   ᅠ 
 ᅠ❛ Freyr ? You will speak of this mistake to no one , Hades . ❜ https://t.co/5VVfKMlJgq",145
0,"If  i died and either met hades or hel or odin or zeus , i actually wouldn’t be suprised they exist

I’m not religous but i’ve always said the planet is a lot older than us and even dinosaurs so many things came before so it isn't impossible for gods like zeuz or odin to of been",160
0,"I keep imagining starting a webcomic with Joe (because unlike me, he can actually draw) about a young witch who goes to form a relation with a goddess like Gaia or Brigid and ends up contacting Hel instead. #witchtwt #WebComicIdea",164
0,"If  i died and either met hades or hel or odin or zeus , i actually wouldn’t be suprised they exist

I’m not religous but i’ve always said the planet is a lot older than us and even dinosaurs so many things came before so it isn't impossible for gods like zeuz or odin to of been",165
1,"Hell came from Hel
Hel came from Hades
Hades comes from Gehenna
And that is a real place.",165
0,You’re ill - LS — HEL{EM #poseigram https://t.co/x85XNxaM4I,166
0,"""Persephone...""

He paused for a moment, taking in what he'd just been told. A metaphorical light bulb light up soon after.

""I am Fenrir, Son of Loki. As for my sister, her name is Hel."" https://t.co/s9VXmnHyM0 https://t.co/sgxX8B2UbO",178
0,omg……….. magni… knows???… artemis fowl…………,207
0,"But I can’t do it alone, Nanna. I need you.",293
1,Hold a second. I have a living family? Nanna and... Delmud? Dermott?!,293
2,"But I can’t do it alone, Nanna. I need you.",293
3,"In some other world, legends say Nanna married Baldur and my forefather killed him...",293
4,Hold a second. I have a living family? Nanna and... Delmud? Dermott?!,293
